订票记录查询

订票时间：,2010-11-01至2010-11-29
订票类型：,ALL,订票状态：,全部
订票性质：,ALL,订票ID：,ALL
PNR：,-,票号：,-,银行订单号：,-
订单号,订单编号,人数,票号,订票时间,航班号,起飞地,到达地,起飞时间,票面价格,代理费,机建,燃油,支付金额,订票状态,代理商,订票人,银行订单号,支付银行,订单类型,旅客类型 
	201011241448441916,	WM21E,	8,	324-2315655475，324-2315655476,	2010-11-24 14:48,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608951,	汇付天下支付,	团队,	成人
	201011241448441916,	WM21E,	8,	324-2315655475，324-2315655476,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608951,	汇付天下支付,	团队,	成人
	201011241448441916,	WM21E,	8,	324-2315655475，324-2315655476,	2010-11-24 14:48,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608951,	汇付天下支付,	团队,	成人
	201011241448441916,	WM21E,	8,	324-2315655481，324-2315655482,	2010-11-24 14:48,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608951,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655434，324-2315655435,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655444，324-2315655445,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655430，324-2315655431,	2010-11-24 14:48,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655434，324-2315655435,	2010-11-24 14:48,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655444，324-2315655445,	2010-11-24 14:48,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
	201011241448091910,	FY27T,	10,	324-2315655434，324-2315655435,	2010-11-24 14:48,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608946,	汇付天下支付,	团队,	成人
