海南航空股份有限公司电子客票出票报表
单位名称:,珠海泰申发展有限公司
第一部分:,销售明细
销售日期:,2010-11-01至2010-11-29

交易编号,起始票号,终止票号,PNR,人数,旅客类型,航段数,航段,航班号,舱位,航班日期,币种,票面金额,机场税,燃油税,其它税,票款总额,代理费,基础代理费,附加代理费,银行支付金额,E付卡支付金额,支付银行,银行订单号,E付卡支付订单号,出票时间,销售人ID,出票人ID,出票类型,原起始票号,原终止票号
'201011031019278288,880-2120489733,880-2120489733,EG18L,1,成人,1,SZXSYX,HU7325,Y,20101105,人民币,890.0,50.0,70.0,0.0,912.0,98.0,27.0,71.0,912.0,0.0,BILL99YS-HUB2C,'2010110301391112,-,2010-11-03 10:30,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031020328336,880-2120489788,880-2120489788,H4029,1,成人,1,SZXPEK,HU7704,Q,20101105,人民币,1050.0,50.0,70.0,0.0,1054.0,116.0,32.0,84.0,1054.0,0.0,BILL99YS-HUB2C,'2010110301391129,-,2010-11-03 10:30,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031028288635,880-2120489745,880-2120489745,KPMRD,1,成人,1,SZXHAK,HU7018,K,20101103,人民币,550.0,50.0,40.0,0.0,579.0,61.0,17.0,44.0,579.0,0.0,BILL99YS-HUB2C,'2010110301391121,-,2010-11-03 10:30,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031100529843,880-2120491641,880-2120491641,EN0NH,1,成人,1,SZXNGB,HU7313,L,20101104,人民币,870.0,50.0,70.0,0.0,894.0,96.0,26.0,70.0,894.0,0.0,BILL99YS-HUB2C,'2010110301391900,-,2010-11-03 11:05,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031211243326,880-2120495254,880-2120495255,J47CM,2,成人,1,SZXPEK,HU7704,Q,20101108,人民币,2100.0,100.0,140.0,0.0,2108.0,232.0,64.0,168.0,2108.0,0.0,BILL99YS-HUB2C,'2010110301393278,-,2010-11-03 12:14,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031339595872,880-2120498481,880-2120498482,H3Z34,2,成人,1,SZXPEK,HU7704,Y,20101119,人民币,3500.0,100.0,140.0,0.0,3354.0,386.0,106.0,280.0,3354.0,0.0,BILL99YS-HUB2C,'2010110301394649,-,2010-11-03 13:41,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031341225915,880-2120498563,880-2120498564,CGG1D,2,成人,1,SZXPEK,HU7702,Q,20101103,人民币,2100.0,100.0,140.0,0.0,2108.0,232.0,64.0,168.0,2108.0,0.0,BILL99YS-HUB2C,'2010110301394675,-,2010-11-03 13:44,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031420477007,880-2120500100,880-2120500100,VPGPB,1,成人,1,SZXCTU,HU7327,E,20101104,人民币,560.0,50.0,70.0,0.0,618.0,62.0,17.0,45.0,618.0,0.0,BILL99YS-HUB2C,'2010110301395244,-,2010-11-03 14:22,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031420567009,880-2120500206,880-2120500206,EBBP5,1,成人,1,SZXXMN,HU7709,L,20101105,人民币,590.0,50.0,40.0,0.0,615.0,65.0,18.0,47.0,615.0,0.0,BILL99YS-HUB2C,'2010110301395297,-,2010-11-03 14:25,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031423187098,880-2120500243,880-2120500243,WN2BE,1,成人,1,SZXPEK,HU7702,Q,20101104,人民币,1050.0,50.0,70.0,0.0,1054.0,116.0,32.0,84.0,1054.0,0.0,BILL99YS-HUB2C,'2010110301395313,-,2010-11-03 14:25,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031435497514,880-2120501620,880-2120501620,WZ1M0,1,成人,1,CKGSZX,HU7058,Q,20101104,人民币,770.0,50.0,70.0,0.0,821.0,69.0,23.0,46.0,821.0,0.0,BILL99YS-HUB2C,'2010110301395877,-,2010-11-03 14:56,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031456028145,880-2120501750,880-2120501750,WN9C4,1,成人,1,SZXLHW,HU7744,X,20101104,人民币,980.0,50.0,70.0,0.0,993.0,107.0,29.0,78.0,993.0,0.0,BILL99YS-HUB2C,'2010110301395931,-,2010-11-03 14:58,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031457018187,880-2120501814,880-2120501814,WN9PN,1,成人,1,SZXLHW,HU7744,X,20101104,人民币,980.0,50.0,70.0,0.0,993.0,107.0,29.0,78.0,993.0,0.0,BILL99YS-HUB2C,'2010110301395941,-,2010-11-03 14:59,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031520338983,880-2120502964,880-2120502964,KZK0S,1,成人,1,SZXCTU,HU7751,E,20101112,人民币,560.0,50.0,70.0,0.0,618.0,62.0,17.0,45.0,618.0,0.0,BILL99YS-HUB2C,'2010110301396356,-,2010-11-03 15:22,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031552471005,880-2120505009,880-2120505009,DYEHN,1,成人,1,SZXLHW,HU7744,X,20101104,人民币,980.0,50.0,70.0,0.0,993.0,107.0,29.0,78.0,993.0,0.0,BILL99YS-HUB2C,'2010110301397026,-,2010-11-03 15:58,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031620171790,880-2120506122,880-2120506122,CB8YH,1,成人,1,SZXHAK,HU7044,E,20101104,人民币,280.0,50.0,40.0,0.0,340.0,30.0,8.0,22.0,340.0,0.0,BILL99YS-HUB2C,'2010110301397396,-,2010-11-03 16:22,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031657492926,880-2120508123,880-2120508125,GR81L,3,成人,1,SZXHAK,HU7044,X,20101106,人民币,1050.0,150.0,120.0,0.0,1203.0,117.0,33.0,84.0,1203.0,0.0,BILL99YS-HUB2C,'2010110301398114,-,2010-11-03 17:01,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011031659092989,880-2120508190,880-2120508191,VDW6G,2,成人,1,SZXXMN,HU7709,Q,20101110,人民币,940.0,100.0,80.0,0.0,1016.0,104.0,28.0,76.0,1016.0,0.0,BILL99YS-HUB2C,'2010110301398148,-,2010-11-03 17:03,B@TAISHEN888,B@TAISHEN888,购票,-,-
